,job_title,company,location,salary,posted,date_extracted
1912,Data Science Intern,Prospect 33,"New York, NY",,1 day ago,2020-04-19 17:33:48.761607
1913,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:48.762608
1914,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:48.763603
1915,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:48.764599
1916,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:48.764599
1917,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:48.765597
1918,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:48.766597
1919,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:48.766597
1920,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:48.767593
1921,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:48.767593
1922,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:48.768589
1923,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:48.769586
1924,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:48.769586
1925,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:48.770583
1926,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,2 days ago,2020-04-19 17:33:48.770583
1927,Data Science Intern,Dolphin,"New York, NY 10014 (SoHo area)",$25 an hour,30+ days ago,2020-04-19 17:33:48.771580
1928,Data Entry Clerk,Liveops,"Mahopac, NY",,5 days ago,2020-04-19 17:33:48.771580
1929,Data Scientist / Statistician / Economist,Apple,"Santa Clara Valley, CA 95014",,24 days ago,2020-04-19 17:33:48.772578
1930,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",,16 days ago,2020-04-19 17:33:48.772578
1931,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",17 days ago,2020-04-19 17:33:48.773575
1932,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",,30+ days ago,2020-04-19 17:33:48.773575
1933,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:48.774572
1934,Data Science Intern,Prospect 33,"New York, NY",,1 day ago,2020-04-19 17:33:48.774572
1935,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:48.775573
1936,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:48.776568
1937,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:48.776568
1938,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:48.777565
1939,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:48.777565
1940,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:48.778563
1941,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:48.779563
1942,Data Scientist,Andor Health,"Orlando, FL 32811 (Eagles Nest area)",,Today,2020-04-19 17:33:48.780561
1943,Lead Data Scientist,CPNET,"Harrisburg, PA","$85,000 - $95,000 a year",16 days ago,2020-04-19 17:33:48.781559
1944,Data Scientist/Analytics Consultant,Deloitte,"Arlington, VA 22209 (North Rosslyn area)",,5 days ago,2020-04-19 17:33:48.782552
1945,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:48.782552
1946,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,17 days ago,2020-04-19 17:33:48.783549
1947,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:48.783549
1948,Data Scientist,Getronics,"Atlanta, GA",$50 - $55 an hour,19 days ago,2020-04-19 17:33:48.784546
1949,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, MA",,30+ days ago,2020-04-19 17:33:48.784546
1950,Data Scientist,West Creek Financial,"Washington, DC",,1 day ago,2020-04-19 17:33:48.785543
1951,Data Scientist,Source Enterprises,"New York, NY",,30+ days ago,2020-04-19 17:33:48.785543
1952,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:48.786541
1953,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:48.786541
1954,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:48.787538
1955,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:48.787538
1956,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:48.788535
1957,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:48.788535
1958,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:48.789532
1959,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:48.789532
1960,Senior Data Scientist,Humana,,,30+ days ago,2020-04-19 17:33:48.790530
1961,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:48.790530
1962,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:48.791527
1963,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:48.792524
1964,Data Scientist,Andor Health,"Orlando, FL 32811 (Eagles Nest area)",,Today,2020-04-19 17:33:48.792524
1965,Lead Data Scientist,CPNET,"Harrisburg, PA","$85,000 - $95,000 a year",16 days ago,2020-04-19 17:33:48.793522
1966,Data Scientist/Analytics Consultant,Deloitte,"Arlington, VA 22209 (North Rosslyn area)",,5 days ago,2020-04-19 17:33:48.793522
1967,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:48.794519
1968,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,17 days ago,2020-04-19 17:33:48.794519
1969,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:48.795516
1970,Data Scientist,Getronics,"Atlanta, GA",$50 - $55 an hour,19 days ago,2020-04-19 17:33:48.795516
1971,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, MA",,30+ days ago,2020-04-19 17:33:48.796514
1972,Data Scientist,West Creek Financial,"Washington, DC",,1 day ago,2020-04-19 17:33:48.796514
1973,Data Scientist,Source Enterprises,"New York, NY",,30+ days ago,2020-04-19 17:33:48.797511
1974,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:48.797511
1975,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:48.798508
1976,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:48.798508
1977,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:48.799505
1978,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:48.799505
1979,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:48.800503
1980,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,2 days ago,2020-04-19 17:33:48.800503
1981,Data Science Intern,Dolphin,"New York, NY 10014 (SoHo area)",$25 an hour,30+ days ago,2020-04-19 17:33:48.801501
1982,Data Entry Clerk,Liveops,"Mahopac, NY",,5 days ago,2020-04-19 17:33:48.801501
1983,Data Scientist / Statistician / Economist,Apple,"Santa Clara Valley, CA 95014",,24 days ago,2020-04-19 17:33:48.802498
1984,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",,16 days ago,2020-04-19 17:33:48.802498
1985,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",17 days ago,2020-04-19 17:33:48.803495
1986,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",,30+ days ago,2020-04-19 17:33:48.804000
1987,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:48.804000
1988,Data Science Intern,Prospect 33,"New York, NY",,1 day ago,2020-04-19 17:33:48.804995
1989,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:48.804995
1990,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:48.805993
1991,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:48.805993
1992,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:48.806990
1993,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:48.806990
1994,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:48.807988
1995,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:48.807988
1996,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:48.808985
1997,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:48.808985
1998,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:48.809982
1999,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:48.809982
2000,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:48.810979
2001,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:48.810979
2002,Data Scientist,Andor Health,"Orlando, FL 32811 (Eagles Nest area)",,Today,2020-04-19 17:33:48.811977
2003,Lead Data Scientist,CPNET,"Harrisburg, PA","$85,000 - $95,000 a year",16 days ago,2020-04-19 17:33:48.811977
2004,Data Scientist/Analytics Consultant,Deloitte,"Arlington, VA 22209 (North Rosslyn area)",,5 days ago,2020-04-19 17:33:48.812975
2005,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:48.812975
2006,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,17 days ago,2020-04-19 17:33:48.813972
2007,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:48.813972
2008,Data Scientist,Getronics,"Atlanta, GA",$50 - $55 an hour,19 days ago,2020-04-19 17:33:48.814969
2009,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, MA",,30+ days ago,2020-04-19 17:33:48.814969
2010,Data Scientist,West Creek Financial,"Washington, DC",,1 day ago,2020-04-19 17:33:48.815966
2011,Data Scientist,Source Enterprises,"New York, NY",,30+ days ago,2020-04-19 17:33:48.815966
2012,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:48.816964
2013,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:48.816964
2014,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:48.817961
2015,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:48.817961
2016,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:48.818958
2017,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:48.818958
2018,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:48.819955
2019,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:48.819955
2020,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:48.820953
2021,Data Scientist,Andor Health,"Orlando, FL 32811 (Eagles Nest area)",,Today,2020-04-19 17:33:48.820953
2022,Lead Data Scientist,CPNET,"Harrisburg, PA","$85,000 - $95,000 a year",16 days ago,2020-04-19 17:33:48.821950
2023,Data Scientist/Analytics Consultant,Deloitte,"Arlington, VA 22209 (North Rosslyn area)",,5 days ago,2020-04-19 17:33:48.821950
2024,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:48.822948
2025,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,17 days ago,2020-04-19 17:33:48.822948
2026,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:48.823945
2027,Data Scientist,Getronics,"Atlanta, GA",$50 - $55 an hour,19 days ago,2020-04-19 17:33:48.823945
2028,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, MA",,30+ days ago,2020-04-19 17:33:48.824942
2029,Data Scientist,West Creek Financial,"Washington, DC",,1 day ago,2020-04-19 17:33:48.825448
2030,Data Scientist,Source Enterprises,"New York, NY",,30+ days ago,2020-04-19 17:33:48.825448
2031,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:48.826443
2032,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:48.826443
2033,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:48.827440
2034,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:48.827440
2035,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:48.828439
2036,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:48.829435
2037,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,2 days ago,2020-04-19 17:33:48.830433
2038,Data Science Intern,Dolphin,"New York, NY 10014 (SoHo area)",$25 an hour,30+ days ago,2020-04-19 17:33:48.832428
2039,Data Entry Clerk,Liveops,"Mahopac, NY",,5 days ago,2020-04-19 17:33:48.833424
2040,Data Scientist / Statistician / Economist,Apple,"Santa Clara Valley, CA 95014",,24 days ago,2020-04-19 17:33:48.833424
2041,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",,16 days ago,2020-04-19 17:33:48.834422
2042,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",17 days ago,2020-04-19 17:33:48.835419
2043,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",,30+ days ago,2020-04-19 17:33:48.835419
2044,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:48.836416
2045,Data Science Intern,Prospect 33,"New York, NY",,1 day ago,2020-04-19 17:33:48.836416
2046,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:48.837413
2047,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:48.837413
2048,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:48.838411
2049,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:48.838411
2050,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:48.839408
2051,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:48.839408
2052,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:48.840406
2053,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:48.840406
2054,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:48.841403
2055,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:48.841403
2056,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:48.842400
2057,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:48.843411
2058,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:48.844396
2059,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,2 days ago,2020-04-19 17:33:48.845393
2060,Data Science Intern,Dolphin,"New York, NY 10014 (SoHo area)",$25 an hour,30+ days ago,2020-04-19 17:33:48.845908
2061,Data Entry Clerk,Liveops,"Mahopac, NY",,5 days ago,2020-04-19 17:33:48.846899
2062,Data Scientist / Statistician / Economist,Apple,"Santa Clara Valley, CA 95014",,24 days ago,2020-04-19 17:33:48.846899
2063,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",,16 days ago,2020-04-19 17:33:48.847895
2064,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",17 days ago,2020-04-19 17:33:48.847895
2065,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",,30+ days ago,2020-04-19 17:33:48.848892
2066,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:48.849890
2067,Data Science Intern,Prospect 33,"New York, NY",,1 day ago,2020-04-19 17:33:48.849890
2068,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:48.850886
2069,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:48.850886
2070,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:48.851883
2071,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:48.851883
2072,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:48.852881
2073,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:48.853878
2074,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:48.853878
2075,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,2 days ago,2020-04-19 17:33:48.854875
2076,Data Science Intern,Dolphin,"New York, NY 10014 (SoHo area)",$25 an hour,30+ days ago,2020-04-19 17:33:48.854875
2077,Data Entry Clerk,Liveops,"Mahopac, NY",,5 days ago,2020-04-19 17:33:48.855875
2078,Data Scientist / Statistician / Economist,Apple,"Santa Clara Valley, CA 95014",,24 days ago,2020-04-19 17:33:48.856870
2079,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",,16 days ago,2020-04-19 17:33:48.856870
2080,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",17 days ago,2020-04-19 17:33:48.857867
2081,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",,30+ days ago,2020-04-19 17:33:48.857867
2082,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:48.858866
2083,Data Science Intern,Prospect 33,"New York, NY",,1 day ago,2020-04-19 17:33:48.858866
2084,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:48.859863
2085,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:48.860862
2086,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:48.861858
2087,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:48.861858
2088,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:48.862854
2089,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:48.863851
2090,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:48.863851
2091,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:48.864849
2092,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:48.864849
2093,Senior Data Scientist,Humana,,,30+ days ago,2020-04-19 17:33:48.865846
2094,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:48.865846
2095,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:48.866843
2096,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:48.866843
2097,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,2 days ago,2020-04-19 17:33:48.867842
2098,Data Science Intern,Dolphin,"New York, NY 10014 (SoHo area)",$25 an hour,30+ days ago,2020-04-19 17:33:48.867842
2099,Data Entry Clerk,Liveops,"Mahopac, NY",,5 days ago,2020-04-19 17:33:48.868838
2100,Data Scientist / Statistician / Economist,Apple,"Santa Clara Valley, CA 95014",,24 days ago,2020-04-19 17:33:48.868838
2101,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",,16 days ago,2020-04-19 17:33:48.869835
2102,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",17 days ago,2020-04-19 17:33:48.869835
2103,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",,30+ days ago,2020-04-19 17:33:48.870833
2104,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:48.870833
2105,Data Science Intern,Prospect 33,"New York, NY",,1 day ago,2020-04-19 17:33:48.871830
2106,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:48.871830
2107,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:48.872827
2108,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:48.872827
2109,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:48.873825
2110,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:48.874822
2111,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:48.875334
2112,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:48.875334
2113,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,2 days ago,2020-04-19 17:33:48.876325
2114,Data Science Intern,Dolphin,"New York, NY 10014 (SoHo area)",$25 an hour,30+ days ago,2020-04-19 17:33:48.876325
2115,Data Entry Clerk,Liveops,"Mahopac, NY",,5 days ago,2020-04-19 17:33:48.877323
2116,Data Scientist / Statistician / Economist,Apple,"Santa Clara Valley, CA 95014",,24 days ago,2020-04-19 17:33:48.877323
2117,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",,16 days ago,2020-04-19 17:33:48.878320
2118,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",17 days ago,2020-04-19 17:33:48.878320
2119,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",,30+ days ago,2020-04-19 17:33:48.879317
2120,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:48.879317
2121,Data Science Intern,Prospect 33,"New York, NY",,1 day ago,2020-04-19 17:33:48.880315
2122,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:48.880315
2123,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:48.881312
2124,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:48.881312
2125,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:48.882309
2126,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:48.882309
2127,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:48.883307
2128,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:48.883307
2129,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:48.884304
2130,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:48.884304
2131,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:48.885301
2132,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,2 days ago,2020-04-19 17:33:48.885301
2133,Data Science Intern,Dolphin,"New York, NY 10014 (SoHo area)",$25 an hour,30+ days ago,2020-04-19 17:33:48.886299
2134,Data Entry Clerk,Liveops,"Mahopac, NY",,5 days ago,2020-04-19 17:33:48.886299
2135,Data Scientist / Statistician / Economist,Apple,"Santa Clara Valley, CA 95014",,24 days ago,2020-04-19 17:33:48.887296
2136,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",,16 days ago,2020-04-19 17:33:48.887296
2137,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",17 days ago,2020-04-19 17:33:48.888293
2138,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",,30+ days ago,2020-04-19 17:33:48.888293
2139,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:48.889291
2140,Data Science Intern,Prospect 33,"New York, NY",,1 day ago,2020-04-19 17:33:48.889291
2141,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:48.890288
2142,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:48.890288
2143,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:48.891285
2144,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:48.891285
2145,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:48.892283
2146,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:48.892283
2147,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:48.893280
2148,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:48.894277
2149,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:48.894277
2150,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:48.894277
2151,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:48.895275
2152,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:48.895781
2153,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:48.896775
2154,Data Scientist,Andor Health,"Orlando, FL 32811 (Eagles Nest area)",,Today,2020-04-19 17:33:48.896775
