,job_title,company,location,salary,posted,date_extracted
3686,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:49.763493
3687,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:49.764491
3688,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:49.764491
3689,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:49.765488
3690,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:49.765488
3691,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:49.766485
3692,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:49.767483
3693,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,2 days ago,2020-04-19 17:33:49.767483
3694,Data Science Intern,Dolphin,"New York, NY 10014 (SoHo area)",$25 an hour,30+ days ago,2020-04-19 17:33:49.767483
3695,Data Entry Clerk,Liveops,"Mahopac, NY",,5 days ago,2020-04-19 17:33:49.768480
3696,Data Scientist / Statistician / Economist,Apple,"Santa Clara Valley, CA 95014",,24 days ago,2020-04-19 17:33:49.768480
3697,DATA SCIENTIST,Tangle Systems LLC,"San Jose, CA 95128 (Willow Glen area)",,16 days ago,2020-04-19 17:33:49.769477
3698,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",17 days ago,2020-04-19 17:33:49.769477
3699,MAIDAP Data Scientist- Students and Recent Graduates,Microsoft,"Cambridge, MA",,30+ days ago,2020-04-19 17:33:49.770475
3700,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:49.770475
3701,Data Science Intern,Prospect 33,"New York, NY",,1 day ago,2020-04-19 17:33:49.771472
3702,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:49.771472
3703,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:49.772469
3704,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:49.773467
3705,AI/ ML Engineer,Drift Net Securities,,"$100,000 - $250,000 a year",12 days ago,2020-04-19 17:33:49.773975
3706,,Triplebyte,,"$150,000 - $225,000 a year",16 days ago,2020-04-19 17:33:49.773975
3707,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30+ days ago,2020-04-19 17:33:49.774968
3708,Data Scientist,Big Zeta,,"$100,000 a year",30+ days ago,2020-04-19 17:33:49.774968
3709,Data Scientist,Andor Health,"Orlando, FL 32811 (Eagles Nest area)",,Today,2020-04-19 17:33:49.775966
3710,Lead Data Scientist,CPNET,"Harrisburg, PA","$85,000 - $95,000 a year",16 days ago,2020-04-19 17:33:49.775966
3711,Data Scientist/Analytics Consultant,Deloitte,"Arlington, VA 22209 (North Rosslyn area)",,5 days ago,2020-04-19 17:33:49.776963
3712,Senior Data Scientist,Bowery Farming,"New York, NY 10011 (Flatiron District area)",,1 day ago,2020-04-19 17:33:49.776963
3713,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,17 days ago,2020-04-19 17:33:49.777960
3714,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30+ days ago,2020-04-19 17:33:49.777960
3715,Data Scientist,Getronics,"Atlanta, GA",$50 - $55 an hour,19 days ago,2020-04-19 17:33:49.777960
3716,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, MA",,30+ days ago,2020-04-19 17:33:49.778958
3717,Data Scientist,West Creek Financial,"Washington, DC",,1 day ago,2020-04-19 17:33:49.778958
3718,Data Scientist,Source Enterprises,"New York, NY",,30+ days ago,2020-04-19 17:33:49.779955
3719,Data Scientist,Global Fishing Watch,,$45 - $65 an hour,16 days ago,2020-04-19 17:33:49.779955
3720,Data Scientist,Seen by Indeed,,,23 days ago,2020-04-19 17:33:49.780952
3721,Data Scientist,Northrop Grumman,,,30+ days ago,2020-04-19 17:33:49.780952
3722,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",27 days ago,2020-04-19 17:33:49.781950
3723,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30+ days ago,2020-04-19 17:33:49.781950
