,job_title,company,location,salary,posted,date
167,Senior Data Scientist,TRANZACT,,"$90,000 - $125,000 a year",30,2020-04-20
168,Data Scientist,Northrop Grumman,,,30,2020-04-20
169,"Sr Data Scientist, Zoro",Zoro Tools,,,13,2020-04-20
170,Machine Learning Engineer,Triplebyte,,"$150,000 - $250,000 a year",17,2020-04-20
171,Data Scientist,"Metron, Inc.",,,30,2020-04-20
173,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30,2020-04-20
174,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",28,2020-04-20
175,Biomedical Data Scientist/Bioinformatics,Aspira Labs,"Trumbull, CT 06611",,4,2020-04-20
176,Data Scientist- Call Center,Momentum Solar,"South Plainfield, NJ",,5,2020-04-20
177,RWD Healthcare Data Scientist,W2O,"Florham Park, NJ",,6,2020-04-20
178,Data Scientist (all levels),IAMUS Consulting,"Linthicum Heights, MD 21090",,3,2020-04-20
179,Freelance Data Scientist for an Award-Winning Music Software...,Mixed In Key,"Miami, FL",,8,2020-04-20
180,Data Scientist,The College Board,"Reston, VA 20190 (Sunset Hills area)",,4,2020-04-20
181,Data Scientist/Engineer (Open to remote Workers),Medidata Solutions,"New York, NY 10003 (Flatiron District area)",,0,2020-04-20
182,Global Big Data Scientist,Abbott Laboratories,United States,,0,2020-04-20
183,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,18,2020-04-20
184,Data Scientist,"Big Data Federation, Inc.","Santa Clara, CA 95050","$100,000 - $120,000 a year",18,2020-04-20
185,Data Scientist,Seen by Indeed,,,24,2020-04-20
186,Senior Data Scientist,TRANZACT,,"$90,000 - $125,000 a year",30,2020-04-20
187,Data Scientist,Northrop Grumman,,,30,2020-04-20
188,"Sr Data Scientist, Zoro",Zoro Tools,,,13,2020-04-20
189,Machine Learning Engineer,Triplebyte,,"$150,000 - $250,000 a year",17,2020-04-20
190,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30,2020-04-20
192,Data Scientist,Northrop Grumman,,,30,2020-04-20
193,Senior Data Scientist (Remote-friendly),Noom Inc.,,,30,2020-04-20
194,Senior Data Scientist,TRANZACT,,"$90,000 - $125,000 a year",30,2020-04-20
195,Machine Learning On-call Intern,Perspecta Labs,,,30,2020-04-20
196,Machine Learning Engineer,Triplebyte,,"$150,000 - $250,000 a year",17,2020-04-20
197,Data Scientist - 64922BR,AETNA,"San Francisco, CA",,13,2020-04-20
198,RWD Healthcare Data Scientist,W2O,"Florham Park, NJ",,6,2020-04-20
199,Data Scientist,Primesys Technologies,"Plainfield, NJ",,30,2020-04-20
200,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,,17,2020-04-20
201,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, MA",,30,2020-04-20
202,Data Scientist,Auth0,Remote,,3,2020-04-20
203,Internship Opportunities for Students: Data & Applied Scienc...,Microsoft,"Redmond, WA",,30,2020-04-20
204,Data Scientist,The College Board,"Reston, VA 20190 (Sunset Hills area)",,4,2020-04-20
205,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30,2020-04-20
206,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,18,2020-04-20
207,Data Scientist,Seen by Indeed,,,24,2020-04-20
208,Data Scientist,Triplebyte,,"$150,000 - $225,000 a year",17,2020-04-20
209,Data Scientist,"Metron, Inc.",,,30,2020-04-20
211,Sr. Data Scientist/Machine Learning Engineer,aikiu,,"$70,000 - $110,000 a year",30,2020-04-20
212,Data Scientist,ClearOne Advantage,,"$70,000 - $80,000 a year",28,2020-04-20
213,Data Scientist - 64922BR,AETNA,"San Francisco, CA",,13,2020-04-20
214,RWD Healthcare Data Scientist,W2O,"Florham Park, NJ",,6,2020-04-20
215,Data Scientist,Primesys Technologies,"Plainfield, NJ",,30,2020-04-20
216,Data Scientist Entry Level - Pathrise Recruiting Partners,Pathrise,Remote,,17,2020-04-20
217,Junior Data Scientist | TS/SCI,Connect Talent Solutions,"Springfield, MA",,30,2020-04-20
218,Data Scientist,Auth0,Remote,,3,2020-04-20
219,Internship Opportunities for Students: Data & Applied Scienc...,Microsoft,"Redmond, WA",,30,2020-04-20
220,Data Scientist,The College Board,"Reston, VA 20190 (Sunset Hills area)",,4,2020-04-20
221,Jr. Data Scientist | Development Team,DarkOwl,"Denver, CO",,30,2020-04-20
222,Data Scientist I - Remote,HMS Health Management Systems,"Irving, TX",$50 an hour,18,2020-04-20
223,Data Scientist,Seen by Indeed,,,24,2020-04-20
